variant,query_id,avg_relevance,ndcg@10,recall@10,recall@50,recall@100,precision@10,n_results,n_scored,n_missing,n_relevant
bm25,0,0.65,0.7560891980888713,0.0023209549071618036,0.011273209549071617,0.02486737400530504,0.7,100,10,0,3016
bm25,1,0.55,0.5878644885266539,0.007052186177715092,0.03526093088857546,0.056417489421720736,1.0,100,10,15,1418
bm25,2,1.0,1.0,0.06329113924050633,0.31645569620253167,0.6329113924050633,1.0,100,10,0,158
bm25,3,0.8,0.8235586080940503,0.012953367875647668,0.05958549222797927,0.06606217616580311,1.0,100,10,1,772
bm25,4,0.55,0.5431403341038608,0.05263157894736842,0.18947368421052632,0.18947368421052632,1.0,100,10,13,190
bm25,5,0.85,0.8518891553992675,0.007639419404125287,0.03819709702062643,0.058059587471352175,1.0,100,10,1,1309
bm25,6,1.0,1.0,0.10101010101010101,0.24242424242424243,0.24242424242424243,1.0,100,10,2,99
bm25,7,0.9,0.9163525412646503,0.018691588785046728,0.05420560747663551,0.05420560747663551,1.0,100,10,0,535
bm25,8,0.95,0.9611891744649164,0.10638297872340426,0.46808510638297873,0.46808510638297873,1.0,100,10,0,94
bm25,9,1.0,1.0,0.006622516556291391,0.033112582781456956,0.05496688741721854,1.0,100,10,1,1510
bm25,10,0.95,0.9611891744649164,0.056818181818181816,0.2840909090909091,0.3181818181818182,1.0,100,10,0,176
bm25,11,1.0,1.0,0.007042253521126761,0.035211267605633804,0.05704225352112676,1.0,100,10,0,1420
bm25,12,1.0,1.0,0.05649717514124294,0.2542372881355932,0.2655367231638418,1.0,100,10,0,177
bm25,13,0.95,0.8710732282692343,0.17543859649122806,0.8596491228070176,0.8947368421052632,1.0,100,10,4,57
bm25,14,0.1,0.06561521939790255,0.001273074474856779,0.007001909611712286,0.0120942075111394,0.2,100,10,8,1571
bm25,15,0.55,0.79354674068162,0.016722408026755852,0.08193979933110368,0.1588628762541806,1.0,100,10,0,598
bm25,16,0.6,0.8388268039310424,0.03759398496240601,0.13157894736842105,0.13157894736842105,1.0,100,10,17,266
bm25,17,0.65,0.661752265298796,0.0970873786407767,0.46601941747572817,0.46601941747572817,1.0,100,10,8,103
bm25,18,0.8,0.7613989446471616,0.0364963503649635,0.18248175182481752,0.33941605839416056,1.0,100,10,1,274
bm25,19,0.5,0.800693766409882,0.7,0.7,0.7,1.0,100,7,93,10
bm25,20,0.45,0.3230485678057806,0.1,0.13333333333333333,0.13333333333333333,0.9,100,10,30,90
bm25,21,0.55,1.0,0.07874015748031496,0.25196850393700787,0.25196850393700787,1.0,100,10,38,127
bm25,22,0.75,0.6935438268624168,0.05102040816326531,0.1989795918367347,0.1989795918367347,1.0,100,10,7,196
bm25,23,0.5,1.0,0.008143322475570033,0.04071661237785016,0.0724755700325733,1.0,100,10,1,1228
bm25,24,0.6,0.6244840704207163,0.004761904761904762,0.023809523809523808,0.04285714285714286,1.0,100,10,1,2100
bm25,25,1.0,1.0,0.04329004329004329,0.21645021645021645,0.42424242424242425,1.0,100,10,0,231
bm25,26,0.95,0.957024409423078,0.0030422878004259203,0.015211439002129602,0.029205962884088835,1.0,100,10,0,3287
bm25,27,0.8,0.8059645126981333,0.029239766081871343,0.14619883040935672,0.20760233918128654,1.0,100,10,2,342
bm25,28,0.95,0.957024409423078,0.03333333333333333,0.16666666666666666,0.3333333333333333,1.0,100,10,0,300
bm25,29,0.1,0.13886244387355454,0.007246376811594203,0.07971014492753623,0.13043478260869565,0.1,100,10,1,138
bm25,30,0.55,0.457189152950017,0.029411764705882353,0.14411764705882352,0.2647058823529412,1.0,100,10,4,340
bm25,31,0.55,0.8648580692145585,0.05952380952380952,0.2976190476190476,0.3333333333333333,1.0,100,10,15,168
bm25,32,0.65,0.9485895574581917,0.054945054945054944,0.24725274725274726,0.24725274725274726,1.0,100,10,4,182
bm25,33,0.75,0.7300620042396767,0.025974025974025976,0.12987012987012986,0.22597402597402597,1.0,100,10,2,385
